"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/16/2016","060530002","3","4.4","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/17/2016","060530002","3","4.1","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/18/2016","060530002","3","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/19/2016","060530002","3","2","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/20/2016","060530002","3","1.3","ug/m3 LC","5","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/21/2016","060530002","3","6.9","ug/m3 LC","29","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/22/2016","060530002","3","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/23/2016","060530002","3","2.6","ug/m3 LC","11","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/24/2016","060530002","3","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/25/2016","060530002","3","7.1","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/26/2016","060530002","3","5.2","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/27/2016","060530002","3","4.1","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/28/2016","060530002","3","6.1","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/29/2016","060530002","3","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/30/2016","060530002","3","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"03/31/2016","060530002","3","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/01/2016","060530002","3","5.9","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/02/2016","060530002","3","5.8","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/03/2016","060530002","3","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/04/2016","060530002","3","4.8","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/05/2016","060530002","3","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/06/2016","060530002","3","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/07/2016","060530002","3","8.3","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/08/2016","060530002","3","6.8","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/09/2016","060530002","3","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/10/2016","060530002","3","2.8","ug/m3 LC","12","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/11/2016","060530002","3","3.5","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/12/2016","060530002","3","4.4","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/13/2016","060530002","3","6.4","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/14/2016","060530002","3","6.2","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/15/2016","060530002","3","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/16/2016","060530002","3","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/17/2016","060530002","3","5.4","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/18/2016","060530002","3","3.3","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/19/2016","060530002","3","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/20/2016","060530002","3","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/21/2016","060530002","3","2.2","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/22/2016","060530002","3","3.3","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/23/2016","060530002","3","3.7","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/24/2016","060530002","3","5.9","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/25/2016","060530002","3","8.7","ug/m3 LC","36","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/26/2016","060530002","3","6.4","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/27/2016","060530002","3","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
"04/28/2016","060530002","3","8.3","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","41500","Salinas, CA","06","California","053","Monterey","36.4957666675473","-121.731571140703"
